Repository Name,Key,JavaVersion,Type,Priority
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S4719,7,CODE_SMELL,MINOR
D:\Repositories\Activiti,S5164,2,BUG,MAJOR
D:\Repositories\Activiti,S5164,2,BUG,MAJOR
D:\Repositories\Activiti,S5164,2,BUG,MAJOR
D:\Repositories\Activiti,S5164,2,BUG,MAJOR
D:\Repositories\Activiti,S5361,4,CODE_SMELL,CRITICAL
D:\Repositories\Activiti,S5361,4,CODE_SMELL,CRITICAL
D:\Repositories\Activiti,S5361,4,CODE_SMELL,CRITICAL
D:\Repositories\Activiti,S5361,4,CODE_SMELL,CRITICAL
D:\Repositories\Activiti,S6202,1,CODE_SMELL,MAJOR
D:\Repositories\Activiti,S6202,1,CODE_SMELL,MAJOR
D:\Repositories\Activiti,S6202,1,CODE_SMELL,MAJOR
D:\Repositories\ActivityLauncher,S1602,8,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1155,2,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1155,2,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1596,5,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1596,5,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1596,5,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1602,8,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1602,8,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1602,8,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1602,8,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1602,8,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1602,8,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1602,8,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1602,8,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S1874,9,CODE_SMELL,MINOR
D:\Repositories\adaptive-alerting,S3655,8,BUG,MAJOR
D:\Repositories\Addax,S1155,2,CODE_SMELL,MINOR
D:\Repositories\Addax,S1155,2,CODE_SMELL,MINOR
D:\Repositories\Addax,S1155,2,CODE_SMELL,MINOR
D:\Repositories\Addax,S1155,2,CODE_SMELL,MINOR
D:\Repositories\Addax,S1602,8,CODE_SMELL,MINOR
D:\Repositories\Addax,S1602,8,CODE_SMELL,MINOR
