Value;Href;Version;MethodParameter;FullClassPath;ModifiedValue
DIVES_AKURU;https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Character.UnicodeBlock.html#DIVES_AKURU;15;[''];.java.base.java.lang.Character.UnicodeBlock;DIVES_AKURU
DOGRA;https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Character.UnicodeScript.html#DOGRA;12;[''];.java.base.java.lang.Character.UnicodeScript;DOGRA
DOGRA;https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Character.UnicodeBlock.html#DOGRA;12;[''];.java.base.java.lang.Character.UnicodeBlock;DOGRA
dropReturn(MethodHandle);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/invoke/MethodHandles.html#dropReturn(java.lang.invoke.MethodHandle);16;['MethodHandle'];.java.base.java.lang.invoke.MethodHandles;dropReturn
dump(Path);https://docs.oracle.com/en/java/javase/17/docs/api//jdk.jfr/jdk/jfr/consumer/RecordingStream.html#dump(java.nio.file.Path);17;['Path'];.jdk.jfr.jdk.jfr.consumer.RecordingStream;dump
dump(Path);https://docs.oracle.com/en/java/javase/17/docs/api//jdk.management.jfr/jdk/management/jfr/RemoteRecordingStream.html#dump(java.nio.file.Path);17;['Path'];.jdk.management.jfr.jdk.management.jfr.RemoteRecordingStream;dump
ED25519;https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/security/spec/NamedParameterSpec.html#ED25519;15;[''];.java.base.java.security.spec.NamedParameterSpec;ED25519
ED448;https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/security/spec/NamedParameterSpec.html#ED448;15;[''];.java.base.java.security.spec.NamedParameterSpec;ED448
EGYPTIAN_HIEROGLYPH_FORMAT_CONTROLS;https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Character.UnicodeBlock.html#EGYPTIAN_HIEROGLYPH_FORMAT_CONTROLS;13;[''];.java.base.java.lang.Character.UnicodeBlock;EGYPTIAN_HIEROGLYPH_FORMAT_CONTROLS
ELYMAIC;https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Character.UnicodeScript.html#ELYMAIC;13;[''];.java.base.java.lang.Character.UnicodeScript;ELYMAIC
ELYMAIC;https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Character.UnicodeBlock.html#ELYMAIC;13;[''];.java.base.java.lang.Character.UnicodeBlock;ELYMAIC
ensureInitialized(Class<?>);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/invoke/MethodHandles.Lookup.html#ensureInitialized(java.lang.Class);15;['Class<?>'];.java.base.java.lang.invoke.MethodHandles.Lookup;ensureInitialized
errorReader();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Process.html#errorReader();17;[''];.java.base.java.lang.Process;errorReader
errorReader(Charset);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Process.html#errorReader(java.nio.charset.Charset);17;['Charset'];.java.base.java.lang.Process;errorReader
exceptionallyAsync(Function<Throwable, ? extends T>);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/util/concurrent/CompletionStage.html#exceptionallyAsync(java.util.function.Function);12;['Function<Throwable', '?extendsT>'];.java.base.java.util.concurrent.CompletionStage;exceptionallyAsync
exceptionallyAsync(Function<Throwable, ? extends T>, Executor);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/util/concurrent/CompletionStage.html#exceptionallyAsync(java.util.function.Function,java.util.concurrent.Executor);12;['Function<Throwable', '?extendsT>', 'Executor'];.java.base.java.util.concurrent.CompletionStage;exceptionallyAsync
exceptionallyCompose(Function<Throwable, ? extends CompletionStage<T>>);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/util/concurrent/CompletionStage.html#exceptionallyCompose(java.util.function.Function);12;['Function<Throwable', '?extendsCompletionStage<T>>'];.java.base.java.util.concurrent.CompletionStage;exceptionallyCompose
exceptionallyComposeAsync(Function<Throwable, ? extends CompletionStage<T>>);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/util/concurrent/CompletionStage.html#exceptionallyComposeAsync(java.util.function.Function);12;['Function<Throwable', '?extendsCompletionStage<T>>'];.java.base.java.util.concurrent.CompletionStage;exceptionallyComposeAsync
exceptionallyComposeAsync(Function<Throwable, ? extends CompletionStage<T>>, Executor);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/util/concurrent/CompletionStage.html#exceptionallyComposeAsync(java.util.function.Function,java.util.concurrent.Executor);12;['Function<Throwable', '?extendsCompletionStage<T>>', 'Executor'];.java.base.java.util.concurrent.CompletionStage;exceptionallyComposeAsync
explicitCast(MethodHandles.Lookup, String, Class<?>, Object);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/invoke/ConstantBootstraps.html#explicitCast(java.lang.invoke.MethodHandles.Lookup,java.lang.String,java.lang.Class,java.lang.Object);15;['MethodHandles.Lookup', 'String', 'Class<?>', 'Object'];.java.base.java.lang.invoke.ConstantBootstraps;explicitCast
FALSE;https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/constant/ConstantDescs.html#FALSE;15;[''];.java.base.java.lang.constant.ConstantDescs;FALSE
force(int, int);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/nio/MappedByteBuffer.html#force(int,int);13;['int', 'int'];.java.base.java.nio.MappedByteBuffer;force
formatted(Object...);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/String.html#formatted(java.lang.Object...);15;['Object...'];.java.base.java.lang.String;formatted
GEORGIAN_EXTENDED;https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Character.UnicodeBlock.html#GEORGIAN_EXTENDED;12;[''];.java.base.java.lang.Character.UnicodeBlock;GEORGIAN_EXTENDED
getBody();https://docs.oracle.com/en/java/javase/17/docs/api//jdk.compiler/com/sun/source/tree/CaseTree.html#getBody();12;[''];.jdk.compiler.com.sun.source.tree.CaseTree;getBody
getCaseKind();https://docs.oracle.com/en/java/javase/17/docs/api//jdk.compiler/com/sun/source/tree/CaseTree.html#getCaseKind();12;[''];.jdk.compiler.com.sun.source.tree.CaseTree;getCaseKind
getChooserShortcutPanelFiles();https://docs.oracle.com/en/java/javase/17/docs/api//java.desktop/javax/swing/filechooser/FileSystemView.html#getChooserShortcutPanelFiles();12;[''];.java.desktop.javax.swing.filechooser.FileSystemView;getChooserShortcutPanelFiles
getCompactNumberInstance();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/text/NumberFormat.html#getCompactNumberInstance();12;[''];.java.base.java.text.NumberFormat;getCompactNumberInstance
getCompactNumberInstance(Locale, NumberFormat.Style);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/text/NumberFormat.html#getCompactNumberInstance(java.util.Locale,java.text.NumberFormat.Style);12;['Locale', 'NumberFormat.Style'];.java.base.java.text.NumberFormat;getCompactNumberInstance
getCompactNumberInstance(Locale, NumberFormat.Style);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/text/spi/NumberFormatProvider.html#getCompactNumberInstance(java.util.Locale,java.text.NumberFormat.Style);12;['Locale', 'NumberFormat.Style'];.java.base.java.text.spi.NumberFormatProvider;getCompactNumberInstance
getCpuLoad();https://docs.oracle.com/en/java/javase/17/docs/api//jdk.management/com/sun/management/OperatingSystemMXBean.html#getCpuLoad();14;[''];.jdk.management.com.sun.management.OperatingSystemMXBean;getCpuLoad
getCurrentThreadAllocatedBytes();https://docs.oracle.com/en/java/javase/17/docs/api//jdk.management/com/sun/management/ThreadMXBean.html#getCurrentThreadAllocatedBytes();14;[''];.jdk.management.com.sun.management.ThreadMXBean;getCurrentThreadAllocatedBytes
getDiagnosticWriter();https://docs.oracle.com/en/java/javase/17/docs/api//jdk.javadoc/jdk/javadoc/doclet/Reporter.html#getDiagnosticWriter();17;[''];.jdk.javadoc.jdk.javadoc.doclet.Reporter;getDiagnosticWriter
getExpressions();https://docs.oracle.com/en/java/javase/17/docs/api//jdk.compiler/com/sun/source/tree/CaseTree.html#getExpressions();12;[''];.jdk.compiler.com.sun.source.tree.CaseTree;getExpressions
getFreeMemorySize();https://docs.oracle.com/en/java/javase/17/docs/api//jdk.management/com/sun/management/OperatingSystemMXBean.html#getFreeMemorySize();14;[''];.jdk.management.com.sun.management.OperatingSystemMXBean;getFreeMemorySize
getJavaFileObjectsFromPaths(Collection<? extends Path>);https://docs.oracle.com/en/java/javase/17/docs/api//java.compiler/javax/tools/StandardJavaFileManager.html#getJavaFileObjectsFromPaths(java.util.Collection);13;['Collection<?extendsPath>'];.java.compiler.javax.tools.StandardJavaFileManager;getJavaFileObjectsFromPaths
getLabels();https://docs.oracle.com/en/java/javase/17/docs/api//jdk.compiler/com/sun/source/tree/CaseTree.html#getLabels();17;[''];.jdk.compiler.com.sun.source.tree.CaseTree;getLabels
getLocale();https://docs.oracle.com/en/java/javase/17/docs/api//jdk.javadoc/jdk/javadoc/doclet/StandardDoclet.html#getLocale();17;[''];.jdk.javadoc.jdk.javadoc.doclet.StandardDoclet;getLocale
getLongThreadID();https://docs.oracle.com/en/java/javase/17/docs/api//java.logging/java/util/logging/LogRecord.html#getLongThreadID();16;[''];.java.logging.java.util.logging.LogRecord;getLongThreadID
getModule();https://docs.oracle.com/en/java/javase/17/docs/api//jdk.compiler/com/sun/source/tree/CompilationUnitTree.html#getModule();17;[''];.jdk.compiler.com.sun.source.tree.CompilationUnitTree;getModule
getMonetaryGroupingSeparator();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/text/DecimalFormatSymbols.html#getMonetaryGroupingSeparator();15;[''];.java.base.java.text.DecimalFormatSymbols;getMonetaryGroupingSeparator
getPattern();https://docs.oracle.com/en/java/javase/17/docs/api//jdk.compiler/com/sun/source/tree/InstanceOfTree.html#getPattern();16;[''];.jdk.compiler.com.sun.source.tree.InstanceOfTree;getPattern
getPermitsClause();https://docs.oracle.com/en/java/javase/17/docs/api//jdk.compiler/com/sun/source/tree/ClassTree.html#getPermitsClause();17;[''];.jdk.compiler.com.sun.source.tree.ClassTree;getPermitsClause
getPermittedSubclasses();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Class.html#getPermittedSubclasses();17;[''];.java.base.java.lang.Class;getPermittedSubclasses
getPermittedSubclasses();https://docs.oracle.com/en/java/javase/17/docs/api//java.compiler/javax/lang/model/element/TypeElement.html#getPermittedSubclasses();17;[''];.java.compiler.javax.lang.model.element.TypeElement;getPermittedSubclasses
getRecordComponents();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Class.html#getRecordComponents();16;[''];.java.base.java.lang.Class;getRecordComponents
getRecordComponents();https://docs.oracle.com/en/java/javase/17/docs/api//java.compiler/javax/lang/model/element/TypeElement.html#getRecordComponents();16;[''];.java.compiler.javax.lang.model.element.TypeElement;getRecordComponents
getReporter();https://docs.oracle.com/en/java/javase/17/docs/api//jdk.javadoc/jdk/javadoc/doclet/StandardDoclet.html#getReporter();17;[''];.jdk.javadoc.jdk.javadoc.doclet.StandardDoclet;getReporter
getSerialFilterFactory();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/io/ObjectInputFilter.Config.html#getSerialFilterFactory();17;[''];.java.base.java.io.ObjectInputFilter.Config;getSerialFilterFactory
getSSLSession();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/net/SecureCacheResponse.html#getSSLSession();12;[''];.java.base.java.net.SecureCacheResponse;getSSLSession
getSSLSession();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/javax/net/ssl/HttpsURLConnection.html#getSSLSession();12;[''];.java.base.javax.net.ssl.HttpsURLConnection;getSSLSession
getStandardWriter();https://docs.oracle.com/en/java/javase/17/docs/api//jdk.javadoc/jdk/javadoc/doclet/Reporter.html#getStandardWriter();17;[''];.jdk.javadoc.jdk.javadoc.doclet.Reporter;getStandardWriter
getSystemIcon(File, int, int);https://docs.oracle.com/en/java/javase/17/docs/api//java.desktop/javax/swing/filechooser/FileSystemView.html#getSystemIcon(java.io.File,int,int);17;['File', 'int', 'int'];.java.desktop.javax.swing.filechooser.FileSystemView;getSystemIcon
getTotalMemorySize();https://docs.oracle.com/en/java/javase/17/docs/api//jdk.management/com/sun/management/OperatingSystemMXBean.html#getTotalMemorySize();14;[''];.jdk.management.com.sun.management.OperatingSystemMXBean;getTotalMemorySize
getType(DocTreePath);https://docs.oracle.com/en/java/javase/17/docs/api//jdk.compiler/com/sun/source/util/DocTrees.html#getType(com.sun.source.util.DocTreePath);15;['DocTreePath'];.jdk.compiler.com.sun.source.util.DocTrees;getType
GUARDED_PATTERN;https://docs.oracle.com/en/java/javase/17/docs/api//jdk.compiler/com/sun/source/tree/Tree.Kind.html#GUARDED_PATTERN;17;[''];.jdk.compiler.com.sun.source.tree.Tree.Kind;GUARDED_PATTERN
GUNJALA_GONDI;https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Character.UnicodeScript.html#GUNJALA_GONDI;12;[''];.java.base.java.lang.Character.UnicodeScript;GUNJALA_GONDI
